surface,path,screen_components,import_reachability,route_ids_detected,status,notes
control-panel,control-panel/runtime/app/administration/page.tsx,AdministrationPage,AdministrationPage:imports=0,,TBD,placeholder_hits=0; components=1
control-panel,dsh/frontend/control-panel/dashboard/ControlPanelDshClosureDashboardScreen.tsx,ControlPanelDshClosureDashboardScreen | ControlPanelDshClosureEvidenceStream | ControlPanelDshClosureHubScreen,ControlPanelDshClosureDashboardScreen:imports=0 | ControlPanelDshClosureEvidenceStream:imports=0 | ControlPanelDshClosureHubScreen:imports=0,app-captain | app-client | app-field | app-partner | captain | client | field | partner | surface-captain | surface-client | surface-field | surface-partner,POSSIBLY_UNREACHABLE,placeholder_hits=0; components=3
control-panel,dsh/frontend/control-panel/finance/FinanceHubScreen.tsx,CaptainPayoutBridgePanel | CommissionBreakdownBridgePanel | ControlPanelDshFinanceHubScreen | FieldCommissionBridgePanel | PartnerSettlementBridgePanel | PlatformFeeAuditBridgePanel | RefundQueueBridgePanel,CaptainPayoutBridgePanel:imports=0 | CommissionBreakdownBridgePanel:imports=0 | ControlPanelDshFinanceHubScreen:imports=0 | FieldCommissionBridgePanel:imports=0 | PartnerSettlementBridgePanel:imports=0 | PlatformFeeAuditBridgePanel:imports=0 | RefundQueueBridgePanel:imports=0,captain-eligibility | captain-finance | store-delivery-finance,WEAK_OR_TRANSITIONAL,placeholder_hits=28; components=7
control-panel,dsh/frontend/control-panel/finance/FinanceHubScreens.tsx,ControlPanelDshCaptainEligibilityScreen | ControlPanelDshCaptainFinanceScreen | ControlPanelDshCodReconciliationScreen | ControlPanelDshFinanceScreen | ControlPanelDshPayoutsScreen | ControlPanelDshRefundQueueScreen | ControlPanelDshRiskAuditScreen | ControlPanelDshSettlementScreen | ControlPanelDshStoreDeliveryFinanceScreen | FinanceSurfaceBoard,ControlPanelDshCaptainEligibilityScreen:imports=0 | ControlPanelDshCaptainFinanceScreen:imports=0 | ControlPanelDshCodReconciliationScreen:imports=0 | ControlPanelDshFinanceScreen:imports=0 | ControlPanelDshPayoutsScreen:imports=0 | ControlPanelDshRefundQueueScreen:imports=1 | ControlPanelDshRiskAuditScreen:imports=0 | ControlPanelDshSettlementScreen:imports=1,captain-eligibility | captain-finance | captain-payouts | captains | field | field-payouts | partner-payouts | partners | store-delivery-finance,WEAK_OR_TRANSITIONAL,placeholder_hits=4; components=10
control-panel,dsh/frontend/control-panel/marketing/BannersCommandDeckScreen.tsx,BannersCommandDeckScreen,BannersCommandDeckScreen:imports=1,custom-route | home | orders | orders-list,WEAK_OR_TRANSITIONAL,placeholder_hits=40; components=1
control-panel,dsh/frontend/control-panel/marketing/CampaignsCommandDeckScreen.tsx,CampaignsCommandDeckScreen,CampaignsCommandDeckScreen:imports=1,border-box | client | home | operations | video,WEAK_OR_TRANSITIONAL,placeholder_hits=9; components=1
control-panel,dsh/frontend/control-panel/marketing/ControlPanelDshMarketingScreen.tsx,ControlPanelDshMarketingScreen,ControlPanelDshMarketingScreen:imports=0,client | home | operations | order | orders | partner | partners | video,WEAK_OR_TRANSITIONAL,placeholder_hits=20; components=1
control-panel,dsh/frontend/control-panel/marketing/GrowthCommandDeckScreen.tsx,GrowthCommandDeckScreen,GrowthCommandDeckScreen:imports=1,free-delivery,WEAK_OR_TRANSITIONAL,placeholder_hits=10; components=1
control-panel,dsh/frontend/control-panel/marketing/LoyaltyCommandDeckScreen.tsx,CompactDeckRow | LoyaltyCommandDeckScreen,CompactDeckRow:imports=0 | LoyaltyCommandDeckScreen:imports=1,border-box,WEAK_OR_TRANSITIONAL,placeholder_hits=7; components=2
control-panel,dsh/frontend/control-panel/marketing/MarketingMediaReviewCommandDeckScreen.tsx,MarketingMediaReviewCommandDeckScreen,MarketingMediaReviewCommandDeckScreen:imports=1,catalog-adopted | catalog-owned-media | catalog-ready | partner-owned-exception | rejected,WEAK_OR_TRANSITIONAL,placeholder_hits=9; components=1
control-panel,dsh/frontend/control-panel/marketing/MarketingReviewScreens.tsx,ControlPanelDshMarketingApprovalScreen | ControlPanelDshVideoSubmissionsReviewScreen | MarketingReviewBoard,ControlPanelDshMarketingApprovalScreen:imports=0 | ControlPanelDshVideoSubmissionsReviewScreen:imports=0 | MarketingReviewBoard:imports=0,handoff-review | video | video-review,POSSIBLY_UNREACHABLE,placeholder_hits=0; components=3
control-panel,dsh/frontend/control-panel/marketing/PartnerOffersCommandDeckScreen.tsx,PartnerOffersCommandDeckScreen,PartnerOffersCommandDeckScreen:imports=1,catalog | field | free-delivery | partner | rejected,WEAK_OR_TRANSITIONAL,placeholder_hits=13; components=1
control-panel,dsh/frontend/control-panel/marketing/PromosCommandDeckScreen.tsx,PromosCommandDeckScreen,PromosCommandDeckScreen:imports=1,home,WEAK_OR_TRANSITIONAL,placeholder_hits=7; components=1
control-panel,dsh/frontend/control-panel/marketing/SmartSignalLayerScreen.tsx,ControlPanelDshMarketingScreen,ControlPanelDshMarketingScreen:imports=0,,WEAK_OR_TRANSITIONAL,placeholder_hits=2; components=1
control-panel,dsh/frontend/control-panel/marketing/VideosCommandDeckScreen.tsx,VideosCommandDeckScreen,VideosCommandDeckScreen:imports=1,client | home | operations | partner | rejected,WEAK_OR_TRANSITIONAL,placeholder_hits=44; components=1
control-panel,dsh/frontend/control-panel/operations/AreaCapacityScreen.tsx,AreaCapacityScreen,AreaCapacityScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=11; components=1
control-panel,dsh/frontend/control-panel/operations/AuditSupportSlaScreen.tsx,AuditSupportSlaScreen,AuditSupportSlaScreen:imports=1,support,WEAK_OR_TRANSITIONAL,placeholder_hits=9; components=1
control-panel,dsh/frontend/control-panel/operations/AwnakScreen.tsx,AwnakScreen,AwnakScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=6; components=1
control-panel,dsh/frontend/control-panel/operations/CaptainOperationsScreen.tsx,CaptainOperationsScreen,CaptainOperationsScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=2; components=1
control-panel,dsh/frontend/control-panel/operations/CommandCenterScreen.tsx,CommandCenterScreen,CommandCenterScreen:imports=1,audit-support-sla | partner-stores,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
control-panel,dsh/frontend/control-panel/operations/ControlPanelDshSheinProxyScreen.tsx,ControlPanelDshSheinProxyScreen,ControlPanelDshSheinProxyScreen:imports=1,intake_review,WEAK_OR_TRANSITIONAL,placeholder_hits=6; components=1
control-panel,dsh/frontend/control-panel/operations/DispatchAssignmentScreen.tsx,DispatchAssignmentScreen,DispatchAssignmentScreen:imports=1,captains,WEAK_OR_TRANSITIONAL,placeholder_hits=8; components=1
control-panel,dsh/frontend/control-panel/operations/ExceptionsEscalationsScreen.tsx,ExceptionsEscalationsScreen,ExceptionsEscalationsScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=9; components=1
control-panel,dsh/frontend/control-panel/operations/GeoHeatmapScreen.tsx,GeoHeatmapScreen,GeoHeatmapScreen:imports=1,active-captains | active-orders | app-captain | app-client | app-partner | captains | delivery | operations-intervention | operations-monitoring | orders | partner-preparation,WEAK_OR_TRANSITIONAL,placeholder_hits=4; components=1
control-panel,dsh/frontend/control-panel/operations/LiveOrdersScreen.tsx,FulfillmentModeQueueSection | LiveOrdersScreen | OpsOrderDetailPanel,FulfillmentModeQueueSection:imports=0 | LiveOrdersScreen:imports=1 | OpsOrderDetailPanel:imports=0,border-box | bthwani_delivery | partner_delivery | pickup | reject,WEAK_OR_TRANSITIONAL,placeholder_hits=12; components=3
control-panel,dsh/frontend/control-panel/operations/OperationsHubScreen.tsx,ControlPanelDshOperationsScreen | DshOperationsHubSurface,ControlPanelDshOperationsScreen:imports=0 | DshOperationsHubSurface:imports=0,audit-support-sla | awnak-operations | captain-operations | live-orders | partner-stores,WEAK_OR_TRANSITIONAL,placeholder_hits=4; components=2
control-panel,dsh/frontend/control-panel/operations/PartnerStoresScreen.tsx,PartnerStoresScreen,PartnerStoresScreen:imports=1,bthwani_delivery | partner_delivery | store-delivery,WEAK_OR_TRANSITIONAL,placeholder_hits=1; components=1
control-panel,dsh/frontend/control-panel/partners/ControlPanelDshPartnerApprovalsScreen.tsx,ControlPanelDshPartnerApprovalsScreen | ControlPanelDshPartnerHubScreen | PartnerApprovalCard,ControlPanelDshPartnerApprovalsScreen:imports=0 | ControlPanelDshPartnerHubScreen:imports=0 | PartnerApprovalCard:imports=0,catalog-adopted | control-panel-partners | field-submitted | inbox | partner-review | partner-submitted | reject | rejected,POSSIBLY_UNREACHABLE,placeholder_hits=0; components=3
control-panel,dsh/frontend/control-panel/partners/DshPartnerPromotionEligibilityScreen.tsx,DshPartnerPromotionEligibilityScreen,DshPartnerPromotionEligibilityScreen:imports=0,marketing-rejected | partner-review,WEAK_OR_TRANSITIONAL,placeholder_hits=2; components=1
control-panel,dsh/frontend/control-panel/partners/PartnerManagementScreens.tsx,ControlPanelDshPartnerActivationScreen | ControlPanelDshPartnerDocumentReviewScreen | PartnerReviewBoard,ControlPanelDshPartnerActivationScreen:imports=0 | ControlPanelDshPartnerDocumentReviewScreen:imports=0 | PartnerReviewBoard:imports=0,catalog-handoff | document-completeness | documents | marketing-handoff | partner-activation | partners | request-docs,POSSIBLY_UNREACHABLE,placeholder_hits=0; components=3
control-panel,dsh/frontend/control-panel/platform/ControlPanelDshPlatformScreen.tsx,ControlPanelDshPlatformScreen | OverviewPanel,ControlPanelDshPlatformScreen:imports=0 | OverviewPanel:imports=0,,WEAK_OR_TRANSITIONAL,placeholder_hits=2; components=2
control-panel,dsh/frontend/control-panel/support/SupportEscalationQueueScreen.tsx,SupportEscalationQueueScreen,SupportEscalationQueueScreen:imports=1,app-captain | app-partner | captain | client | partner,WEAK_OR_TRANSITIONAL,placeholder_hits=4; components=1
control-panel,dsh/frontend/control-panel/support/SupportHubScreens.tsx,ControlPanelDshDisputeResolutionScreen | ControlPanelDshSupportHubScreen | ControlPanelDshSupportQueueScreen,ControlPanelDshDisputeResolutionScreen:imports=0 | ControlPanelDshSupportHubScreen:imports=0 | ControlPanelDshSupportQueueScreen:imports=1,bthwani_delivery | captain | client | delivery-failed | partner | partner_delivery | pickup | support,WEAK_OR_TRANSITIONAL,placeholder_hits=20; components=3
control-panel,dsh/frontend/control-panel/support/SupportSlaDashboardScreen.tsx,SupportSlaDashboardScreen,SupportSlaDashboardScreen:imports=1,support-sla,TBD,placeholder_hits=0; components=1
control-panel,dsh/frontend/control-panel/support/SupportTicketListScreen.tsx,SupportTicketListScreen,SupportTicketListScreen:imports=0,,POSSIBLY_UNREACHABLE,placeholder_hits=0; components=1
shared,dsh/frontend/shared/dshCrossSurfaceClosureMap.ts,DSH_CROSS_SURFACE_CLOSURE_MAP,DSH_CROSS_SURFACE_CLOSURE_MAP:imports=1,app-captain | app-client | app-field | app-partner | captain | captain-delivery-proof | captain-task-pickup | catalog-governance | client | client-cart-checkout | client-discovery | client-tracking-support | delivery | field | field-onboarding | field-visit-evidence | operations-intervention | operations-monitoring | order-intake | partner | partner-catalog-readiness | partner-intake-prep | partner-preparation | pickup | support,WEAK_OR_TRANSITIONAL,placeholder_hits=15; components=1
ui-kit,ui-kit/src/components/navigation.tsx,BottomNavBar | HeaderIconButton | ModernPremiumHeader | NavButton | SmartNewsTicker,BottomNavBar:imports=4 | HeaderIconButton:imports=0 | ModernPremiumHeader:imports=3 | NavButton:imports=0 | SmartNewsTicker:imports=0,,WEAK_OR_TRANSITIONAL,placeholder_hits=6; components=5
wlt-finance,wlt/frontend/app-client/home/screens/WltHomeGetScreen.tsx,WltHomeGetScreen,WltHomeGetScreen:imports=1,,WEAK_OR_TRANSITIONAL,placeholder_hits=5; components=1
wlt-finance,wlt/frontend/app-client/home/screens/WltTopupScreen.tsx,WltTopupScreen,WltTopupScreen:imports=0,,WEAK_OR_TRANSITIONAL,placeholder_hits=5; components=1
